Year,GCB,CABLE,CLASS-CTEM,CLM5.0,DLEM,ISAM,JSBACH,JULES,LPJ-GUESS ,LPJ ,LPX-Bern,OCN,ORCHIDEE-CNP,ORCHIDEE-Trunk,SDGVM,SURFEX,VISIT
1959,0.5160732039,0.464,-0.1892,1.11668,0.684072805,1.1697,0.4809,1.0938465,-0.057435,-0.5395664483,0.0585243674,1.0406825542,0.206038,0.5177770898,0.144951394,0.8112,1.255
1960,1.394030036,2.6133,1.2883,1.30166,1.715825693,1.4693,2.0734,1.1468272,1.452678,0.4600550726,0.8678303052,1.0853407383,1.2231,1.5587660898,0.7580374775,1.38506,1.905
1961,0.6050982148,1.8724,1.1669,0.374898,0.467182948,0.8829,1.6108,0.9748187,-0.137858,-0.6356018966,-0.2858648066,1.2968943119,-0.00308911,1.1789260898,-1.0676248003,0.57889,1.407
1962,1.3483486486,2.1697,1.9863,1.05004,1.088284058,1.4048,2.2852,2.0975929,1.143677,0.2678789787,-0.0458619372,1.7766779661,1.42469,1.1072690898,-0.1025596786,1.50989,2.41
1963,0.8777942653,1.9296,0.2003,0.748967,0.570186581,1.0754,1.5373,1.9467808,-0.715668,-0.5234209952,-0.1728221399,1.5694856644,0.185551,1.4244360898,0.2835522449,1.76906,2.216
1964,1.4005760148,2.3599,1.119,1.73433,1.769946921,1.939,1.4961,2.5279063,1.772659,0.76642422,0.9434559023,1.8978120089,1.05113,1.1247670898,0.2814147953,0.14237,1.483
1965,0.4232291244,2.0464,0.0046,1.00584,0.646301166,1.248,0.36195,0.9513871,-1.02309,-0.6044165731,-1.2758724427,0.7214503884,1.62021,0.3528850898,-1.6423787383,1.0644,1.294
1966,1.2784244128,1.9194,1.7859,1.52951,1.634750254,1.3117,1.81,0.3244431,0.986364,0.119825026,0.9367686304,1.5905789137,0.679059,1.9192560898,1.7064555911,0.81978,1.381
1967,1.6283938585,2.6046,0.6424,1.59253,1.719235527,1.8607,1.8481,2.6146183,1.100377,0.896667497,1.0714120641,2.654696703,1.27825,1.4416660898,1.2912685558,1.63778,1.8
1968,2.5305576595,3.0903,2.1998,2.21128,2.56760934,2.4864,1.8406,3.2351358,3.900152,2.5132441923,2.248937643,2.8424508572,2.50875,1.8782160898,2.3258966294,1.80915,2.831
1969,0.5042561395,1.0533,0.6194,1.23007,-0.162449055,0.3627,1.5395,-0.2209234,0.36412,0.1830761126,0.2788082278,0.7259504795,-0.648246,0.6624440898,0.4805177772,0.72783,0.872
1970,0.4418397155,1.6971,0.4148,1.36461,0.85741751,0.6622,1.354,-0.7749581,0.177886,-1.0732972539,0.0300689889,0.6005091667,0.237294,0.5842620898,-0.6298369542,0.72538,0.842
1971,2.4623893846,3.7912,2.7734,1.7031,3.524350523,2.4419,1.6319,2.9707711,2.808305,2.0543472506,1.9150348266,2.7835495472,2.99125,2.1451160898,1.7664458169,1.40756,2.69
1972,1.047974316,1.2369,1.0856,0.886972,1.121499801,0.709,-0.76154,0.1118834,2.091823,1.5390539323,1.2246674771,1.7430334091,0.102394,0.5554380898,1.1055439465,2.07132,1.944
1973,1.4607379109,2.504,1.7766,2.03581,2.269763294,1.7578,1.7884,-0.5032699,3.280142,0.6979401174,0.6294202602,2.2379271984,0.0647312,1.5378560898,2.6052363144,-0.28855,0.978
1974,4.0718154389,5.6626,4.7051,2.46379,3.68727865,3.2855,4.6136,5.0681833,4.953179,3.744155806,3.6211239112,4.3608407974,3.92296,4.1093460898,3.2344894675,3.2889,4.428
1975,2.4372607493,2.7487,3.3196,2.29835,2.476058098,2.0719,2.0533,2.6899035,2.647852,2.0770571549,2.24310114,3.2830064297,2.14659,1.9473060898,1.9180075768,1.58544,3.49
1976,2.9578024631,4.0173,2.7193,2.93862,2.862523156,2.7371,1.3631,4.3658199,2.42147,4.2370482075,2.2436756915,3.6664733887,2.64212,1.9994760898,2.3828629764,2.33895,4.389
1977,1.4178921112,2.2977,1.5404,1.98931,0.75250828,1.04,0.94642,1.3387707,0.384202,1.703821827,1.6574489282,2.5086681843,0.0305377,1.4483260898,0.8676900694,1.44247,2.738
1978,2.8180625008,3.8405,4.0217,2.53901,2.469746382,2.4727,3.3477,3.3244329,2.988209,2.6113376698,1.8575198671,2.8249392509,1.67917,3.0108360898,3.1349288536,1.88427,3.082
1979,1.536241533,2.722,1.0491,2.12291,1.480580908,1.54,2.55,1.093192,0.855329,1.2025568901,0.7908955253,2.1086807251,0.433245,1.1908960898,1.0555283898,1.92395,2.461
1980,0.5193541748,1.7199,-0.4264,1.44274,1.104760039,1.0995,1.2553,-0.1441254,-0.603943,-0.6462331146,-1.0654904524,1.195250392,0.985855,0.7707670898,-0.5625037577,0.67329,1.511
1981,2.2743925637,3.3291,2.5142,2.28511,3.033919021,2.1603,2.8051,2.091453,1.668894,1.0708700273,0.8871619654,3.5813655853,1.94941,2.7812960898,1.9178313303,1.90327,2.411
1982,1.5549001341,2.6434,0.8244,1.88578,2.09529908,2.0994,1.0833,1.228695,1.684541,1.8345793359,0.7084689452,2.1665334702,0.96411,0.7248770898,0.3096782246,2.05734,2.568
1983,0.2165196278,1.094,-1.1635,1.1953,1.017246191,0.8705,1.4291,-0.1592609,-1.00425,-0.7617268615,-1.6270344642,1.3111169338,-0.256652,0.3901610898,0.4063340559,0.29898,0.424
1984,2.8322967424,4.4299,3.6282,2.43071,3.962305461,2.6603,2.858,1.7378456,3.131406,2.4434408889,2.2454276185,3.2332162857,2.41625,2.5848460898,1.5430099344,2.20689,3.805
1985,2.6406923463,4.0939,3.351,2.57082,2.696630179,2.6886,3.48,1.8139677,2.814259,2.3843197902,1.3075861972,3.3852758408,1.87146,2.3750560898,1.9384527431,2.74775,2.732
1986,2.2512472139,3.1564,2.3183,3.04157,2.754715789,2.2871,2.3357,2.1958947,2.415063,2.0533710881,0.0108828192,3.109888792,1.60615,1.7379960898,1.8805031441,2.16942,2.947
1987,0.3175652996,1.2867,-0.4431,1.54177,0.638699311,0.6221,0.94324,-0.9669934,-1.493006,0.2501813956,-1.0092960027,1.6215606928,-1.28149,0.3452910898,-0.2794922929,1.93188,1.373
1988,1.8901879754,2.9998,1.5961,2.3177,3.104210244,2.1823,3.2601,2.2184621,0.294642,0.0241191511,0.721107609,3.1020286083,1.28036,2.3380360898,1.8915418035,1.2445,1.668
1989,3.5176692564,4.4637,4.3287,2.57565,4.226945455,3.16,3.3459,3.9793454,4.122028,3.283309002,2.892165339,4.0946865082,3.02973,2.9313860898,2.7309323082,3.12323,3.995
1990,2.3416131843,2.6336,3.5157,2.99702,2.04757739,1.9838,2.4708,1.638329,3.022158,2.5667644155,1.9611854857,3.0549285412,0.454488,1.7328160898,1.7595140269,2.64413,2.983
1991,2.1435505891,3.2504,1.8786,2.94414,2.577177218,2.4602,3.0374,2.6909924,0.420544,1.4966162984,0.3762517069,3.2311909199,1.33897,1.9316560898,1.3387207921,2.48495,2.839
1992,2.0132030007,3.5516,0.7762,2.60474,3.224083574,3.3744,0.95717,2.1270063,2.331153,3.0030026504,0.4537137644,2.6321706772,1.5958,1.4221360898,1.3709319546,1.66314,1.124
1993,2.8851850699,4.6153,2.6681,3.09658,3.280647514,2.9218,2.2646,2.8923143,3.56844,3.3392369598,1.8978970875,3.9969701767,2.09922,2.5234960898,1.71186899,2.69949,2.587
1994,1.4861991251,2.1284,1.4431,2.05306,1.482486069,1.3135,1.753,1.7728176,0.09566,0.9281955625,0.4799090314,2.4962182045,0.840391,1.7323860898,0.5311124452,2.21595,2.513
1995,1.642830749,2.3774,1.1117,2.46038,1.851597383,1.5509,2.0754,1.642484,0.950762,0.5802677099,0.041296279,2.7118244171,1.02605,1.7476660898,2.1473941045,2.09417,1.916
1996,3.1406241411,5.1468,3.9461,2.4069,2.942922706,2.7205,2.6118,2.1511049,4.834502,2.6541339186,2.8054419312,3.4276623726,2.77934,3.2582260898,2.6986923389,2.23686,3.629
1997,2.9848355757,4.0089,3.125,2.6765,2.58531127,2.2929,3.6179,3.0597303,3.258359,3.3174583497,2.6132218047,3.7824811935,0.858196,2.7131660898,3.7195252041,2.89972,3.229
1998,1.3447812307,1.3027,2.3772,2.1489,0.567708483,0.6336,3.886,0.5264684,0.505906,0.0070286203,1.0669809252,1.8461728096,-1.27831,1.8462460898,1.9081183639,1.89478,2.277
1999,3.7048439784,4.9177,3.4266,3.34092,4.267960688,3.4996,4.765,3.9925301,3.513959,3.2955550979,2.9011549786,4.0328178406,3.40447,3.6466260898,2.1086398593,3.29697,4.867
2000,3.9868284801,4.9781,5.4114,3.26057,3.810933381,3.2195,4.9151,4.708758,4.171153,3.8997892243,3.34879204,4.4357209206,2.98274,3.9684260898,2.3485430253,3.46573,4.864
2001,2.4070486244,3.5912,3.6173,2.65327,2.282275398,2.3428,2.7358,2.6707154,0.968091,1.9607574282,0.9019828686,3.2962708473,0.314124,2.0906060898,2.2145049583,2.93908,3.934
2002,0.9089681514,2.1697,0.3884,2.35768,1.288834453,1.415,1.1203,0.731318,-0.619961,0.205480455,-0.9137479329,1.8112635612,0.0990655,0.9734650898,-0.3345077041,2.4442,1.407
2003,2.3143552871,3.3185,2.1105,2.73825,2.879179335,2.1528,3.7795,1.8547473,1.718286,1.2808587736,0.4242334088,3.2965404987,0.614859,2.3020460898,3.0742541872,2.74113,2.744
2004,3.4635597988,5.2547,3.4459,3.04825,3.256166581,3.3141,3.5812,3.325892,4.849112,3.4451407605,2.1640941473,4.3069343567,2.17579,3.2262360898,2.6373208456,3.21712,4.169
2005,1.606942612,1.6943,1.4337,2.75514,2.478708582,1.5,1.6473,1.8051375,0.586276,1.2338843872,0.05241673,2.7535908222,-0.0513488,1.5103560898,1.5347904811,2.68983,2.087
2006,3.121595984,3.9477,2.3187,2.84666,3.954362382,2.8195,3.3439,3.0443011,2.653677,2.6370561088,2.1682550904,3.9684975147,2.06518,3.0655860898,3.8134704575,3.33369,3.965
2007,2.7924163263,4.3935,2.9006,2.88574,3.551739891,2.4856,4.0817,3.723638,1.605461,1.7280784707,0.6986477596,3.49472332,1.88661,2.7367260898,1.1405966903,3.0783,4.287
2008,3.7087879923,4.9193,3.9423,2.61077,4.063602039,3.4501,4.6302,4.1507955,4.866195,3.1365283666,2.4397501311,4.3316140175,3.36588,3.4377060898,1.9823367326,3.20453,4.809
2009,2.7727911573,3.888,2.9851,2.58215,2.948235705,2.2058,3.485,2.4085179,2.43456,3.4098901271,2.0037540576,3.5469236374,1.15998,1.9685960898,2.366161,3.08199,3.89
2010,3.0993645081,3.8753,4.2032,3.36284,2.632888358,2.0399,5.2138,1.4865828,3.730486,2.4557490961,1.6674079209,3.7791628838,0.62628,3.2748360898,4.2916589811,2.90074,4.049
2011,4.2544394819,6.0268,4.319,3.76172,4.395951575,3.7628,4.6294,5.2146467,4.256841,4.161848984,2.7612745115,5.2340335846,2.94343,3.9035960898,2.9679892658,4.0357,5.696
2012,2.4894357158,3.2292,2.3047,2.97678,2.910610961,2.3724,2.6318,2.9739461,0.218942,1.7769447751,0.9478040269,3.7443311214,1.52707,2.3367960898,1.6387063779,4.13694,4.104
2013,3.267517664,5.0355,3.7444,2.93973,3.524327524,2.8952,4.566,2.5760266,4.145869,3.4990677407,2.4073205653,3.5330336094,1.39178,2.7852960898,2.1746414946,3.09709,3.965
2014,3.8032874826,5.2831,4.158,3.73375,4.333845424,3.4216,3.3701,3.4118247,4.036473,4.4316570182,2.5745882078,4.8693060875,1.63373,3.5064560898,3.175769195,3.7204,5.192
2015,1.8378471554,2.8319,0.8163,2.63117,1.805234412,2.1647,1.566,2.0618348,-0.233025,2.301100889,-0.2917283939,3.5598669052,-0.269606,1.3954460898,2.1219407851,3.94142,3.003
2016,2.5772429234,3.7327,2.6484,3.32832,3.026130987,2.4449,3.6624,1.1261109,2.391383,2.3714159659,1.6240348871,3.9274625778,-0.0239328,2.6131660898,3.8472251669,2.42217,2.094
2017,3.7821974456,5.0382,4.9679,3.13985,3.44041028,3.3397,4.0761,3.0913286,4.358053,3.3152362344,2.586970982,4.3967547417,2.6026,4.0069860898,3.1478192018,4.38125,4.626
