Year,TPI
1959.0416666667777,-0.165
1959.1250000001112,-0.16399999999999998
1959.2083333334447,-0.162
1959.2916666667782,-0.161
1959.3750000001116,-0.16
1959.4583333334451,-0.159
1959.5416666667786,-0.159
1959.625000000112,-0.159
1959.7083333334456,-0.159
1959.791666666779,-0.159
1959.8750000001125,-0.16
1959.958333333446,-0.16
1960.0416666667795,-0.161
1960.125000000113,-0.163
1960.2083333334465,-0.16399999999999998
1960.29166666678,-0.165
1960.3750000001135,-0.16699999999999998
1960.458333333447,-0.16899999999999998
1960.5416666667804,-0.171
1960.625000000114,-0.17300000000000001
1960.7083333334474,-0.175
1960.7916666667809,-0.177
1960.8750000001144,-0.179
1960.9583333334479,-0.182
1961.0416666667813,-0.184
1961.1250000001148,-0.18600000000000003
1961.2083333334483,-0.188
1961.2916666667818,-0.191
1961.3750000001153,-0.193
1961.4583333334488,-0.195
1961.5416666667822,-0.19699999999999998
1961.6250000001157,-0.19899999999999998
1961.7083333334492,-0.201
1961.7916666667827,-0.203
1961.8750000001162,-0.205
1961.9583333334497,-0.20600000000000002
1962.0416666667832,-0.20800000000000002
1962.1250000001166,-0.209
1962.2083333334501,-0.21
1962.2916666667836,-0.21100000000000002
1962.375000000117,-0.212
1962.4583333334506,-0.212
1962.541666666784,-0.212
1962.6250000001176,-0.212
1962.708333333451,-0.212
1962.7916666667845,-0.212
1962.875000000118,-0.21100000000000002
1962.9583333334515,-0.21
1963.041666666785,-0.209
1963.1250000001185,-0.20800000000000002
1963.208333333452,-0.20600000000000002
1963.2916666667854,-0.205
1963.375000000119,-0.20199999999999999
1963.4583333334524,-0.2
1963.5416666667859,-0.19699999999999998
1963.6250000001194,-0.195
1963.7083333334529,-0.192
1963.7916666667863,-0.188
1963.8750000001198,-0.185
1963.9583333334533,-0.18100000000000002
1964.0416666667868,-0.177
1964.1250000001203,-0.17300000000000001
1964.2083333334538,-0.16899999999999998
1964.2916666667873,-0.16399999999999998
1964.3750000001207,-0.16
1964.4583333334542,-0.155
1964.5416666667877,-0.15
1964.6250000001212,-0.146
1964.7083333334547,-0.141
1964.7916666667882,-0.136
1964.8750000001216,-0.131
1964.9583333334551,-0.127
1965.0416666667886,-0.122
1965.125000000122,-0.11800000000000001
1965.2083333334556,-0.113
1965.291666666789,-0.109
1965.3750000001226,-0.105
1965.458333333456,-0.10099999999999999
1965.5416666667895,-0.09699999999999999
1965.625000000123,-0.094
1965.7083333334565,-0.09
1965.79166666679,-0.087
1965.8750000001235,-0.084
1965.958333333457,-0.08199999999999999
1966.0416666667904,-0.08
1966.125000000124,-0.077
1966.2083333334574,-0.076
1966.291666666791,-0.07400000000000001
1966.3750000001244,-0.073
1966.4583333334579,-0.07200000000000001
1966.5416666667913,-0.071
1966.6250000001248,-0.07
1966.7083333334583,-0.07
1966.7916666667918,-0.07
1966.8750000001253,-0.07
1966.9583333334588,-0.071
1967.0416666667923,-0.071
1967.1250000001257,-0.07200000000000001
1967.2083333334592,-0.073
1967.2916666667927,-0.075
1967.3750000001262,-0.076
1967.4583333334597,-0.078
1967.5416666667932,-0.08
1967.6250000001266,-0.08199999999999999
1967.7083333334601,-0.085
1967.7916666667936,-0.08800000000000001
1967.875000000127,-0.091
1967.9583333334606,-0.094
1968.041666666794,-0.098
1968.1250000001276,-0.102
1968.208333333461,-0.106
1968.2916666667945,-0.11
1968.375000000128,-0.114
1968.4583333334615,-0.11900000000000001
1968.541666666795,-0.124
1968.6250000001285,-0.129
1968.708333333462,-0.134
1968.7916666667954,-0.139
1968.875000000129,-0.14400000000000002
1968.9583333334624,-0.15
1969.041666666796,-0.156
1969.1250000001294,-0.162
1969.2083333334629,-0.168
1969.2916666667963,-0.174
1969.3750000001298,-0.18
1969.4583333334633,-0.187
1969.5416666667968,-0.193
1969.6250000001303,-0.2
1969.7083333334638,-0.207
1969.7916666667973,-0.214
1969.8750000001307,-0.221
1969.9583333334642,-0.228
1970.0416666667977,-0.235
1970.1250000001312,-0.242
1970.2083333334647,-0.25
1970.2916666667982,-0.257
1970.3750000001316,-0.265
1970.4583333334651,-0.272
1970.5416666667986,-0.28
1970.625000000132,-0.28800000000000003
1970.7083333334656,-0.295
1970.791666666799,-0.303
1970.8750000001326,-0.311
1970.958333333466,-0.319
1971.0416666667995,-0.326
1971.125000000133,-0.33399999999999996
1971.2083333334665,-0.341
1971.2916666668,-0.349
1971.3750000001335,-0.35600000000000004
1971.458333333467,-0.364
1971.5416666668004,-0.371
1971.625000000134,-0.37799999999999995
1971.7083333334674,-0.384
1971.791666666801,-0.391
1971.8750000001344,-0.397
1971.9583333334679,-0.40299999999999997
1972.0416666668013,-0.409
1972.1250000001348,-0.415
1972.2083333334683,-0.42
1972.2916666668018,-0.426
1972.3750000001353,-0.431
1972.4583333334688,-0.435
1972.5416666668023,-0.44
1972.6250000001357,-0.444
1972.7083333334692,-0.44799999999999995
1972.7916666668027,-0.451
1972.8750000001362,-0.455
1972.9583333334697,-0.45799999999999996
1973.0416666668032,-0.46
1973.1250000001367,-0.46299999999999997
1973.2083333334701,-0.465
1973.2916666668036,-0.467
1973.375000000137,-0.46799999999999997
1973.4583333334706,-0.469
1973.541666666804,-0.47
1973.6250000001376,-0.47
1973.708333333471,-0.47
1973.7916666668045,-0.469
1973.875000000138,-0.469
1973.9583333334715,-0.467
1974.041666666805,-0.466
1974.1250000001385,-0.46299999999999997
1974.208333333472,-0.461
1974.2916666668054,-0.45799999999999996
1974.375000000139,-0.45399999999999996
1974.4583333334724,-0.451
1974.541666666806,-0.446
1974.6250000001394,-0.442
1974.7083333334729,-0.43700000000000006
1974.7916666668063,-0.431
1974.8750000001398,-0.425
1974.9583333334733,-0.419
1975.0416666668068,-0.41200000000000003
1975.1250000001403,-0.405
1975.2083333334738,-0.39799999999999996
1975.2916666668073,-0.39
1975.3750000001407,-0.382
1975.4583333334742,-0.373
1975.5416666668077,-0.364
1975.6250000001412,-0.355
1975.7083333334747,-0.34600000000000003
1975.7916666668082,-0.336
1975.8750000001417,-0.326
1975.9583333334751,-0.316
1976.0416666668086,-0.306
1976.125000000142,-0.29600000000000004
1976.2083333334756,-0.285
1976.291666666809,-0.275
1976.3750000001426,-0.264
1976.458333333476,-0.253
1976.5416666668095,-0.242
1976.625000000143,-0.23
1976.7083333334765,-0.21899999999999997
1976.79166666681,-0.20800000000000002
1976.8750000001435,-0.196
1976.958333333477,-0.184
1977.0416666668104,-0.17300000000000001
1977.125000000144,-0.161
1977.2083333334774,-0.149
1977.291666666811,-0.13699999999999998
1977.3750000001444,-0.125
1977.4583333334779,-0.113
1977.5416666668114,-0.10099999999999999
1977.6250000001448,-0.08900000000000001
1977.7083333334783,-0.077
1977.7916666668118,-0.065
1977.8750000001453,-0.053
1977.9583333334788,-0.040999999999999995
1978.0416666668123,-0.028999999999999998
1978.1250000001457,-0.017
1978.2083333334792,-0.004
1978.2916666668127,0.008
1978.3750000001462,0.02
1978.4583333334797,0.031
1978.5416666668132,0.043
1978.6250000001467,0.055
1978.7083333334801,0.067
1978.7916666668136,0.078
1978.875000000147,0.08900000000000001
1978.9583333334806,0.10099999999999999
1979.041666666814,0.11199999999999999
1979.1250000001476,0.122
1979.208333333481,0.133
1979.2916666668145,0.14300000000000002
1979.375000000148,0.153
1979.4583333334815,0.163
1979.541666666815,0.172
1979.6250000001485,0.18100000000000002
1979.708333333482,0.19
1979.7916666668154,0.19899999999999998
1979.875000000149,0.207
1979.9583333334824,0.214
1980.041666666816,0.222
1980.1250000001494,0.22899999999999998
1980.2083333334829,0.235
1980.2916666668164,0.242
1980.3750000001498,0.248
1980.4583333334833,0.253
1980.5416666668168,0.258
1980.6250000001503,0.263
1980.7083333334838,0.268
1980.7916666668173,0.272
1980.8750000001507,0.276
1980.9583333334842,0.28
1981.0416666668177,0.284
1981.1250000001512,0.287
1981.2083333334847,0.29
1981.2916666668182,0.293
1981.3750000001517,0.295
1981.4583333334851,0.298
1981.5416666668186,0.3
1981.625000000152,0.302
1981.7083333334856,0.303
1981.791666666819,0.305
1981.8750000001526,0.306
1981.958333333486,0.308
1982.0416666668195,0.309
1982.125000000153,0.31
1982.2083333334865,0.31
1982.29166666682,0.311
1982.3750000001535,0.312
1982.458333333487,0.312
1982.5416666668204,0.313
1982.625000000154,0.313
1982.7083333334874,0.313
1982.791666666821,0.313
1982.8750000001544,0.313
1982.9583333334879,0.312
1983.0416666668214,0.312
1983.1250000001548,0.311
1983.2083333334883,0.311
1983.2916666668218,0.31
1983.3750000001553,0.309
1983.4583333334888,0.307
1983.5416666668223,0.306
1983.6250000001558,0.304
1983.7083333334892,0.303
1983.7916666668227,0.301
1983.8750000001562,0.299
1983.9583333334897,0.29600000000000004
1984.0416666668232,0.294
1984.1250000001567,0.29100000000000004
1984.2083333334901,0.28800000000000003
1984.2916666668236,0.285
1984.3750000001571,0.282
1984.4583333334906,0.27899999999999997
1984.541666666824,0.275
1984.6250000001576,0.271
1984.708333333491,0.267
1984.7916666668245,0.263
1984.875000000158,0.259
1984.9583333334915,0.254
1985.041666666825,0.249
1985.1250000001585,0.245
1985.208333333492,0.24
1985.2916666668254,0.23399999999999999
1985.375000000159,0.22899999999999998
1985.4583333334924,0.22399999999999998
1985.541666666826,0.218
1985.6250000001594,0.213
1985.7083333334929,0.207
1985.7916666668264,0.20199999999999999
1985.8750000001598,0.196
1985.9583333334933,0.19
1986.0416666668268,0.184
1986.1250000001603,0.17800000000000002
1986.2083333334938,0.17300000000000001
1986.2916666668273,0.16699999999999998
1986.3750000001608,0.161
1986.4583333334942,0.156
1986.5416666668277,0.15
1986.6250000001612,0.14400000000000002
1986.7083333334947,0.139
1986.7916666668282,0.134
1986.8750000001617,0.128
1986.9583333334951,0.12300000000000001
1987.0416666668286,0.11800000000000001
1987.1250000001621,0.113
1987.2083333334956,0.109
1987.291666666829,0.10400000000000001
1987.3750000001626,0.1
1987.458333333496,0.096
1987.5416666668295,0.092
1987.625000000163,0.08800000000000001
1987.7083333334965,0.085
1987.79166666683,0.081
1987.8750000001635,0.079
1987.958333333497,0.076
1988.0416666668305,0.07400000000000001
1988.125000000164,0.07200000000000001
1988.2083333334974,0.07
1988.291666666831,0.069
1988.3750000001644,0.068
1988.4583333334979,0.067
1988.5416666668314,0.067
1988.6250000001648,0.067
1988.7083333334983,0.067
1988.7916666668318,0.068
1988.8750000001653,0.069
1988.9583333334988,0.07
1989.0416666668323,0.07200000000000001
1989.1250000001658,0.07400000000000001
1989.2083333334992,0.076
1989.2916666668327,0.079
1989.3750000001662,0.08199999999999999
1989.4583333334997,0.086
1989.5416666668332,0.08900000000000001
1989.6250000001667,0.09300000000000001
1989.7083333335001,0.098
1989.7916666668336,0.102
1989.8750000001671,0.107
1989.9583333335006,0.11199999999999999
1990.041666666834,0.11699999999999999
1990.1250000001676,0.122
1990.208333333501,0.128
1990.2916666668345,0.133
1990.375000000168,0.139
1990.4583333335015,0.145
1990.541666666835,0.151
1990.6250000001685,0.157
1990.708333333502,0.163
1990.7916666668355,0.16899999999999998
1990.875000000169,0.175
1990.9583333335024,0.182
1991.041666666836,0.188
1991.1250000001694,0.195
1991.2083333335029,0.201
1991.2916666668364,0.207
1991.3750000001698,0.214
1991.4583333335033,0.22
1991.5416666668368,0.22699999999999998
1991.6250000001703,0.233
1991.7083333335038,0.24
1991.7916666668373,0.247
1991.8750000001708,0.253
1991.9583333335042,0.26
1992.0416666668377,0.266
1992.1250000001712,0.272
1992.2083333335047,0.27899999999999997
1992.2916666668382,0.285
1992.3750000001717,0.29100000000000004
1992.4583333335052,0.297
1992.5416666668386,0.303
1992.6250000001721,0.309
1992.7083333335056,0.315
1992.791666666839,0.32
1992.8750000001726,0.326
1992.958333333506,0.331
1993.0416666668395,0.336
1993.125000000173,0.34
1993.2083333335065,0.344
1993.29166666684,0.348
1993.3750000001735,0.35200000000000004
1993.458333333507,0.355
1993.5416666668405,0.358
1993.625000000174,0.361
1993.7083333335074,0.363
1993.791666666841,0.364
1993.8750000001744,0.365
1993.9583333335079,0.366
1994.0416666668414,0.366
1994.1250000001749,0.366
1994.2083333335083,0.366
1994.2916666668418,0.364
1994.3750000001753,0.36200000000000004
1994.4583333335088,0.36
1994.5416666668423,0.35700000000000004
1994.6250000001758,0.354
1994.7083333335092,0.35
1994.7916666668427,0.345
1994.8750000001762,0.34
1994.9583333335097,0.335
1995.0416666668432,0.32899999999999996
1995.1250000001767,0.322
1995.2083333335102,0.315
1995.2916666668436,0.307
1995.3750000001771,0.299
1995.4583333335106,0.29100000000000004
1995.541666666844,0.282
1995.6250000001776,0.272
1995.708333333511,0.263
1995.7916666668445,0.252
1995.875000000178,0.242
1995.9583333335115,0.231
1996.041666666845,0.22
1996.1250000001785,0.20800000000000002
1996.208333333512,0.196
1996.2916666668455,0.184
1996.375000000179,0.172
1996.4583333335124,0.159
1996.541666666846,0.146
1996.6250000001794,0.133
1996.7083333335129,0.12
1996.7916666668464,0.106
1996.8750000001799,0.09300000000000001
1996.9583333335133,0.079
1997.0416666668468,0.065
1997.1250000001803,0.051
1997.2083333335138,0.038
1997.2916666668473,0.024
1997.3750000001808,0.01
1997.4583333335142,-0.004
1997.5416666668477,-0.018000000000000002
1997.6250000001812,-0.032
1997.7083333335147,-0.045
1997.7916666668482,-0.059000000000000004
1997.8750000001817,-0.07200000000000001
1997.9583333335152,-0.085
1998.0416666668486,-0.098
1998.1250000001821,-0.111
1998.2083333335156,-0.124
1998.291666666849,-0.136
1998.3750000001826,-0.14800000000000002
1998.458333333516,-0.16
1998.5416666668496,-0.171
1998.625000000183,-0.182
1998.7083333335165,-0.193
1998.79166666685,-0.204
1998.8750000001835,-0.214
1998.958333333517,-0.22399999999999998
1999.0416666668505,-0.233
1999.125000000184,-0.242
1999.2083333335174,-0.25
1999.291666666851,-0.258
1999.3750000001844,-0.266
1999.4583333335179,-0.273
1999.5416666668514,-0.28
1999.6250000001849,-0.28600000000000003
1999.7083333335183,-0.29100000000000004
1999.7916666668518,-0.297
1999.8750000001853,-0.301
1999.9583333335188,-0.306
2000.0416666668523,-0.309
2000.1250000001858,-0.313
2000.2083333335192,-0.315
2000.2916666668527,-0.318
2000.3750000001862,-0.32
2000.4583333335197,-0.321
2000.5416666668532,-0.322
2000.6250000001867,-0.322
2000.7083333335202,-0.322
2000.7916666668536,-0.321
2000.8750000001871,-0.32
2000.9583333335206,-0.319
2001.041666666854,-0.316
2001.1250000001876,-0.314
2001.208333333521,-0.311
2001.2916666668546,-0.308
2001.375000000188,-0.304
2001.4583333335215,-0.3
2001.541666666855,-0.295
2001.6250000001885,-0.29
2001.708333333522,-0.285
2001.7916666668555,-0.28
2001.875000000189,-0.27399999999999997
2001.9583333335224,-0.268
2002.041666666856,-0.262
2002.1250000001894,-0.256
2002.208333333523,-0.249
2002.2916666668564,-0.243
2002.3750000001899,-0.23600000000000002
2002.4583333335233,-0.22899999999999998
2002.5416666668568,-0.222
2002.6250000001903,-0.215
2002.7083333335238,-0.20800000000000002
2002.7916666668573,-0.20199999999999999
2002.8750000001908,-0.195
2002.9583333335243,-0.188
2003.0416666668577,-0.18100000000000002
2003.1250000001912,-0.175
2003.2083333335247,-0.168
2003.2916666668582,-0.162
2003.3750000001917,-0.156
2003.4583333335252,-0.15
2003.5416666668586,-0.14400000000000002
2003.6250000001921,-0.139
2003.7083333335256,-0.134
2003.791666666859,-0.129
2003.8750000001926,-0.124
2003.958333333526,-0.11900000000000001
2004.0416666668596,-0.115
2004.125000000193,-0.111
2004.2083333335265,-0.107
2004.29166666686,-0.10400000000000001
2004.3750000001935,-0.10099999999999999
2004.458333333527,-0.098
2004.5416666668605,-0.096
2004.625000000194,-0.095
2004.7083333335274,-0.09300000000000001
2004.791666666861,-0.092
2004.8750000001944,-0.092
2004.958333333528,-0.092
2005.0416666668614,-0.09300000000000001
2005.1250000001949,-0.094
2005.2083333335283,-0.095
2005.2916666668618,-0.09699999999999999
2005.3750000001953,-0.099
2005.4583333335288,-0.102
2005.5416666668623,-0.105
2005.6250000001958,-0.10800000000000001
2005.7083333335293,-0.11199999999999999
2005.7916666668627,-0.11699999999999999
2005.8750000001962,-0.121
2005.9583333335297,-0.126
2006.0416666668632,-0.132
2006.1250000001967,-0.13699999999999998
2006.2083333335302,-0.14300000000000002
2006.2916666668636,-0.149
2006.3750000001971,-0.156
2006.4583333335306,-0.162
2006.541666666864,-0.16899999999999998
2006.6250000001976,-0.17600000000000002
2006.708333333531,-0.184
2006.7916666668646,-0.191
2006.875000000198,-0.198
2006.9583333335315,-0.20600000000000002
2007.041666666865,-0.214
2007.1250000001985,-0.222
2007.208333333532,-0.23
2007.2916666668655,-0.23800000000000002
2007.375000000199,-0.24600000000000002
2007.4583333335324,-0.254
2007.541666666866,-0.262
2007.6250000001994,-0.27
2007.708333333533,-0.278
2007.7916666668664,-0.28600000000000003
2007.8750000001999,-0.295
2007.9583333335333,-0.303
2008.0416666668668,-0.311
2008.1250000002003,-0.319
2008.2083333335338,-0.326
2008.2916666668673,-0.33399999999999996
2008.3750000002008,-0.342
2008.4583333335343,-0.349
2008.5416666668677,-0.35700000000000004
2008.6250000002012,-0.364
2008.7083333335347,-0.371
2008.7916666668682,-0.37799999999999995
2008.8750000002017,-0.385
2008.9583333335352,-0.391
2009.0416666668687,-0.397
2009.1250000002021,-0.40299999999999997
2009.2083333335356,-0.409
2009.291666666869,-0.414
2009.3750000002026,-0.419
2009.458333333536,-0.424
2009.5416666668696,-0.429
2009.625000000203,-0.433
2009.7083333335365,-0.436
2009.79166666687,-0.44
2009.8750000002035,-0.44299999999999995
2009.958333333537,-0.445
2010.0416666668705,-0.44799999999999995
2010.125000000204,-0.449
2010.2083333335374,-0.451
2010.291666666871,-0.452
2010.3750000002044,-0.452
2010.458333333538,-0.452
2010.5416666668714,-0.452
2010.6250000002049,-0.451
2010.7083333335383,-0.45
2010.7916666668718,-0.44799999999999995
2010.8750000002053,-0.446
2010.9583333335388,-0.44299999999999995
2011.0416666668723,-0.44
2011.1250000002058,-0.436
2011.2083333335393,-0.43200000000000005
2011.2916666668727,-0.42700000000000005
2011.3750000002062,-0.42200000000000004
2011.4583333335397,-0.41700000000000004
2011.5416666668732,-0.41100000000000003
2011.6250000002067,-0.405
2011.7083333335402,-0.39799999999999996
2011.7916666668737,-0.391
2011.8750000002071,-0.384
2011.9583333335406,-0.376
2012.041666666874,-0.368
2012.1250000002076,-0.36
2012.208333333541,-0.35100000000000003
2012.2916666668746,-0.34299999999999997
2012.375000000208,-0.33299999999999996
2012.4583333335415,-0.324
2012.541666666875,-0.314
2012.6250000002085,-0.305
2012.708333333542,-0.295
2012.7916666668755,-0.285
2012.875000000209,-0.27399999999999997
2012.9583333335424,-0.264
